"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Gender"	"Gender Code"	Births
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"January"	"1"	"Female"	"F"	1027
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"January"	"1"	"Male"	"M"	1131
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"January"	"1"			2158
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"February"	"2"	"Female"	"F"	949
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"February"	"2"	"Male"	"M"	1039
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"February"	"2"			1988
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"March"	"3"	"Female"	"F"	1051
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"March"	"3"	"Male"	"M"	1196
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"March"	"3"			2247
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"April"	"4"	"Female"	"F"	1052
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"April"	"4"	"Male"	"M"	1165
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"April"	"4"			2217
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"May"	"5"	"Female"	"F"	1125
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"May"	"5"	"Male"	"M"	1146
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"May"	"5"			2271
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"June"	"6"	"Female"	"F"	1068
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"June"	"6"	"Male"	"M"	1172
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"June"	"6"			2240
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"July"	"7"	"Female"	"F"	1178
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"July"	"7"	"Male"	"M"	1207
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"July"	"7"			2385
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"August"	"8"	"Female"	"F"	1170
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"August"	"8"	"Male"	"M"	1208
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"August"	"8"			2378
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"September"	"9"	"Female"	"F"	1116
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"September"	"9"	"Male"	"M"	1170
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"September"	"9"			2286
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"October"	"10"	"Female"	"F"	1095
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"October"	"10"	"Male"	"M"	1117
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"October"	"10"			2212
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"November"	"11"	"Female"	"F"	1019
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"November"	"11"	"Male"	"M"	1035
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"November"	"11"			2054
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"December"	"12"	"Female"	"F"	1095
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"December"	"12"	"Male"	"M"	1148
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"	"December"	"12"			2243
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2015"	"2015"					26679
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"January"	"1"	"Female"	"F"	1007
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"January"	"1"	"Male"	"M"	1062
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"January"	"1"			2069
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"February"	"2"	"Female"	"F"	1006
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"February"	"2"	"Male"	"M"	1015
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"February"	"2"			2021
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"March"	"3"	"Female"	"F"	1128
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"March"	"3"	"Male"	"M"	1121
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"March"	"3"			2249
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"April"	"4"	"Female"	"F"	1111
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"April"	"4"	"Male"	"M"	1112
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"April"	"4"			2223
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"May"	"5"	"Female"	"F"	1124
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"May"	"5"	"Male"	"M"	1144
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"May"	"5"			2268
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"June"	"6"	"Female"	"F"	1034
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"June"	"6"	"Male"	"M"	1142
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"June"	"6"			2176
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"July"	"7"	"Female"	"F"	1122
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"July"	"7"	"Male"	"M"	1187
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"July"	"7"			2309
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"August"	"8"	"Female"	"F"	1175
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"August"	"8"	"Male"	"M"	1192
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"August"	"8"			2367
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"September"	"9"	"Female"	"F"	1157
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"September"	"9"	"Male"	"M"	1209
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"September"	"9"			2366
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"October"	"10"	"Female"	"F"	1110
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"October"	"10"	"Male"	"M"	1132
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"October"	"10"			2242
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"November"	"11"	"Female"	"F"	1088
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"November"	"11"	"Male"	"M"	1081
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"November"	"11"			2169
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"December"	"12"	"Female"	"F"	1017
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"December"	"12"	"Male"	"M"	1113
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"	"December"	"12"			2130
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2016"	"2016"					26589
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"January"	"1"	"Female"	"F"	1034
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"January"	"1"	"Male"	"M"	1013
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"January"	"1"			2047
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"February"	"2"	"Female"	"F"	947
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"February"	"2"	"Male"	"M"	945
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"February"	"2"			1892
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"March"	"3"	"Female"	"F"	1032
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"March"	"3"	"Male"	"M"	1101
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"March"	"3"			2133
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"April"	"4"	"Female"	"F"	1013
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"April"	"4"	"Male"	"M"	1084
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"April"	"4"			2097
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"May"	"5"	"Female"	"F"	1059
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"May"	"5"	"Male"	"M"	1151
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"May"	"5"			2210
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"June"	"6"	"Female"	"F"	1147
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"June"	"6"	"Male"	"M"	1176
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"June"	"6"			2323
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"July"	"7"	"Female"	"F"	1063
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"July"	"7"	"Male"	"M"	1115
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"July"	"7"			2178
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"August"	"8"	"Female"	"F"	1133
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"August"	"8"	"Male"	"M"	1210
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"August"	"8"			2343
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"September"	"9"	"Female"	"F"	1050
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"September"	"9"	"Male"	"M"	1122
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"September"	"9"			2172
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"October"	"10"	"Female"	"F"	1089
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"October"	"10"	"Male"	"M"	1153
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"October"	"10"			2242
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"November"	"11"	"Female"	"F"	1023
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"November"	"11"	"Male"	"M"	1029
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"November"	"11"			2052
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"December"	"12"	"Female"	"F"	1025
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"December"	"12"	"Male"	"M"	1107
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"	"December"	"12"			2132
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2017"	"2017"					25821
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"							290417
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"January"	"1"	"Female"	"F"	356
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"January"	"1"	"Male"	"M"	380
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"January"	"1"			736
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"February"	"2"	"Female"	"F"	342
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"February"	"2"	"Male"	"M"	351
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"February"	"2"			693
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"March"	"3"	"Female"	"F"	355
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"March"	"3"	"Male"	"M"	377
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"March"	"3"			732
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"April"	"4"	"Female"	"F"	344
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"April"	"4"	"Male"	"M"	369
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"April"	"4"			713
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"May"	"5"	"Female"	"F"	375
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"May"	"5"	"Male"	"M"	404
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"May"	"5"			779
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"June"	"6"	"Female"	"F"	347
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"June"	"6"	"Male"	"M"	426
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"June"	"6"			773
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"July"	"7"	"Female"	"F"	393
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"July"	"7"	"Male"	"M"	394
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"July"	"7"			787
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"August"	"8"	"Female"	"F"	350
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"August"	"8"	"Male"	"M"	386
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"August"	"8"			736
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"September"	"9"	"Female"	"F"	351
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"September"	"9"	"Male"	"M"	353
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"September"	"9"			704
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"October"	"10"	"Female"	"F"	381
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"October"	"10"	"Male"	"M"	393
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"October"	"10"			774
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"November"	"11"	"Female"	"F"	344
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"November"	"11"	"Male"	"M"	343
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"November"	"11"			687
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"December"	"12"	"Female"	"F"	345
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"December"	"12"	"Male"	"M"	381
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"	"December"	"12"			726
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2007"	"2007"					8840
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"January"	"1"	"Female"	"F"	348
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"January"	"1"	"Male"	"M"	398
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"January"	"1"			746
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"February"	"2"	"Female"	"F"	345
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"February"	"2"	"Male"	"M"	347
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"February"	"2"			692
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"March"	"3"	"Female"	"F"	330
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"March"	"3"	"Male"	"M"	325
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"March"	"3"			655
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"April"	"4"	"Female"	"F"	366
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"April"	"4"	"Male"	"M"	391
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"April"	"4"			757
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"May"	"5"	"Female"	"F"	364
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"May"	"5"	"Male"	"M"	436
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"May"	"5"			800
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"June"	"6"	"Female"	"F"	414
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"June"	"6"	"Male"	"M"	408
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"June"	"6"			822
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"July"	"7"	"Female"	"F"	361
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"July"	"7"	"Male"	"M"	409
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"July"	"7"			770
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"August"	"8"	"Female"	"F"	379
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"August"	"8"	"Male"	"M"	383
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"August"	"8"			762
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"September"	"9"	"Female"	"F"	399
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"September"	"9"	"Male"	"M"	378
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"September"	"9"			777
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"October"	"10"	"Female"	"F"	402
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"October"	"10"	"Male"	"M"	363
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"October"	"10"			765
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"November"	"11"	"Female"	"F"	307
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"November"	"11"	"Male"	"M"	361
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"November"	"11"			668
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"December"	"12"	"Female"	"F"	350
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"December"	"12"	"Male"	"M"	374
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"	"December"	"12"			724
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2008"	"2008"					8938
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"January"	"1"	"Female"	"F"	370
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"January"	"1"	"Male"	"M"	365
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"January"	"1"			735
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"February"	"2"	"Female"	"F"	349
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"February"	"2"	"Male"	"M"	335
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"February"	"2"			684
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"March"	"3"	"Female"	"F"	366
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"March"	"3"	"Male"	"M"	401
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"March"	"3"			767
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"April"	"4"	"Female"	"F"	383
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"April"	"4"	"Male"	"M"	388
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"April"	"4"			771
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"May"	"5"	"Female"	"F"	399
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"May"	"5"	"Male"	"M"	391
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"May"	"5"			790
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"June"	"6"	"Female"	"F"	391
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"June"	"6"	"Male"	"M"	378
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"June"	"6"			769
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"July"	"7"	"Female"	"F"	411
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"July"	"7"	"Male"	"M"	419
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"July"	"7"			830
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"August"	"8"	"Female"	"F"	348
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"August"	"8"	"Male"	"M"	348
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"August"	"8"			696
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"September"	"9"	"Female"	"F"	377
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"September"	"9"	"Male"	"M"	402
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"September"	"9"			779
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"October"	"10"	"Female"	"F"	326
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"October"	"10"	"Male"	"M"	422
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"October"	"10"			748
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"November"	"11"	"Female"	"F"	337
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"November"	"11"	"Male"	"M"	355
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2009"	"2009"	"November"	"11"			692
